A)
Gaussian wavelet:
Number of neurons : 8
Lowest found cost: 0.0778493
Optimal p = [-1.476, 0.709101, -1.86171, -1.26858, -0.118404, 0.899121, 0.460178, 0.971936]
            [-0.159075, 1.62448, 0.118801, 0.530285, 0.439675, -1.72938, -0.46258, -1.85491]
            [-1.12411, 0.692006, -1.96921, 1.89747, 1.59834, -1.29359, 1.43661, 0.930652]

Wavelet:
Number of neurons : 8
Lowest found cost: 0.55057
Optimal p = [-1.47357, 0.699911, -1.86171, -1.90326, 0.0745917, 1.13138, 1.45325, 0.854154]
            [-0.166163, 1.74331, 0.118801, 0.608848, 0.892025, -1.95451, -1.05984, -1.60929]
            [-1.12414, 0.0166525, -1.96921, 1.68419, 0.791982, -0.834909, 1.73735, 1.42689]



-0.373373 -0.837253 -0.827002 -0.840257
-0.371371 -0.836094 -0.825852 -0.839293
-0.369369 -0.83484 -0.824607 -0.838225
-0.367367 -0.83349 -0.823268 -0.837054
-0.365365 -0.832043 -0.821834 -0.835779
-0.363363 -0.830501 -0.820305 -0.834401
-0.361361 -0.828862 -0.818681 -0.832919
-0.359359 -0.827126 -0.816962 -0.831334
-0.357357 -0.825295 -0.815148 -0.829644
-0.355355 -0.823367 -0.813239 -0.827851
-0.353353 -0.821342 -0.811234 -0.825954
-0.351351 -0.819222 -0.809134 -0.823953
-0.349349 -0.817005 -0.806939 -0.821847
-0.347347 -0.814691 -0.804648 -0.819638
-0.345345 -0.812281 -0.802262 -0.817325
-0.343343 -0.809775 -0.79978 -0.814908
-0.341341 -0.807173 -0.797203 -0.812387
-0.339339 -0.804475 -0.79453 -0.809762
-0.337337 -0.801681 -0.791763 -0.807033
-0.335335 -0.79879 -0.7889 -0.804201
-0.333333 -0.795804 -0.785941 -0.801265
-0.331331 -0.792723 -0.782888 -0.798226
-0.329329 -0.789546 -0.77974 -0.795083
-0.327327 -0.786273 -0.776496 -0.791838
-0.325325 -0.782906 -0.773158 -0.788489
-0.323323 -0.779443 -0.769726 -0.785038
-0.321321 -0.775886 -0.766199 -0.781485
-0.319319 -0.772234 -0.762577 -0.777829
-0.317317 -0.768488 -0.758862 -0.774071
-0.315315 -0.764648 -0.755052 -0.770212
-0.313313 -0.760714 -0.751149 -0.766251
-0.311311 -0.756687 -0.747152 -0.762189
-0.309309 -0.752566 -0.743062 -0.758026
-0.307307 -0.748353 -0.738879 -0.753763
-0.305305 -0.744047 -0.734604 -0.7494
-0.303303 -0.739648 -0.730236 -0.744937
-0.301301 -0.735158 -0.725775 -0.740375
-0.299299 -0.730576 -0.721223 -0.735713
-0.297297 -0.725903 -0.71658 -0.730954
-0.295295 -0.721139 -0.711845 -0.726096
-0.293293 -0.716285 -0.707019 -0.721141
-0.291291 -0.711341 -0.702103 -0.716088
-0.289289 -0.706307 -0.697097 -0.710939
-0.287287 -0.701184 -0.692001 -0.705694
-0.285285 -0.695972 -0.686816 -0.700354
-0.283283 -0.690672 -0.681542 -0.694918
-0.281281 -0.685284 -0.67618 -0.689388
-0.279279 -0.679809 -0.670729 -0.683763
-0.277277 -0.674247 -0.665192 -0.678046
-0.275275 -0.668599 -0.659567 -0.672236
-0.273273 -0.662866 -0.653855 -0.666333
-0.271271 -0.657047 -0.648058 -0.660339
-0.269269 -0.651143 -0.642175 -0.654254
-0.267267 -0.645156 -0.636207 -0.648079
-0.265265 -0.639085 -0.630155 -0.641815
-0.263263 -0.632931 -0.624019 -0.635462
-0.261261 -0.626695 -0.617799 -0.62902
-0.259259 -0.620377 -0.611497 -0.622492
-0.257257 -0.613979 -0.605113 -0.615876
-0.255255 -0.6075 -0.598647 -0.609175
-0.253253 -0.600941 -0.592101 -0.602388
-0.251251 -0.594303 -0.585474 -0.595518
-0.249249 -0.587587 -0.578768 -0.588563
-0.247247 -0.580793 -0.571983 -0.581527
-0.245245 -0.573922 -0.56512 -0.574408
-0.243243 -0.566975 -0.558179 -0.567208
-0.241241 -0.559953 -0.551161 -0.559928
-0.239239 -0.552856 -0.544068 -0.552568
-0.237237 -0.545684 -0.536899 -0.54513
-0.235235 -0.53844 -0.529655 -0.537615
-0.233233 -0.531123 -0.522338 -0.530023
-0.231231 -0.523734 -0.514948 -0.522355
-0.229229 -0.516275 -0.507485 -0.514612
-0.227227 -0.508745 -0.499951 -0.506795
-0.225225 -0.501146 -0.492346 -0.498906
-0.223223 -0.493479 -0.484672 -0.490945
-0.221221 -0.485744 -0.476928 -0.482912
-0.219219 -0.477943 -0.469117 -0.47481
-0.217217 -0.470076 -0.461238 -0.466639
-0.215215 -0.462143 -0.453293 -0.4584
-0.213213 -0.454147 -0.445282 -0.450094
-0.211211 -0.446088 -0.437206 -0.441722
-0.209209 -0.437966 -0.429067 -0.433285
-0.207207 -0.429783 -0.420865 -0.424785
-0.205205 -0.421539 -0.412601 -0.416222
-0.203203 -0.413236 -0.404276 -0.407598
-0.201201 -0.404874 -0.395892 -0.398913
-0.199199 -0.396455 -0.387448 -0.390168
-0.197197 -0.387979 -0.378946 -0.381366
-0.195195 -0.379448 -0.370387 -0.372506
-0.193193 -0.370861 -0.361772 -0.36359
